fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
Wardruna_Tyr.wav,0.007603026926517487,0.15561707317829132,0.1608387976884842,0.058953844010829926,0.005242137238383293,0.0494699627161026,0.1399375945329666,0.4223376512527466,Rock
Wham!_Wake Me up Before You Go-Go.wav,0.044047266244888306,0.07086578011512756,0.08997626602649689,0.24049030244350433,0.01775188185274601,0.1811516284942627,0.2087462693452835,0.14697061479091644,Hip-Hop
Will Smith_Gettin' Jiggy Wit It.wav,0.09745144844055176,0.03937440738081932,0.029376357793807983,0.5212920904159546,0.026714760810136795,0.08479143679141998,0.1234189048409462,0.0775805413722992,Hip-Hop
Wiz Khalifa_See You Again (feat. Charlie Puth).wav,0.24396277964115143,0.05323239788413048,0.0496588870882988,0.37569743394851685,0.003510039299726486,0.07617705315351486,0.09093756973743439,0.10682380944490433,Hip-Hop
Worakls_Nocturne.wav,0.11943018436431885,0.04742499813437462,0.04339330270886421,0.10257107764482498,0.10196935385465622,0.14390264451503754,0.08810622245073318,0.35320231318473816,Rock
Worakls_Salzburg.wav,0.2021913230419159,0.05041958764195442,0.03327697142958641,0.2562742233276367,0.000979205477051437,0.055490028113126755,0.13388694822788239,0.2674817442893982,Rock
Wu-Tang Clan_C.R.E.A.M. (Cash Rules Everything Around Me) - Radio Edit.wav,0.0687904804944992,0.10092870891094208,0.09892641007900238,0.3511550724506378,0.006633668206632137,0.162091925740242,0.11796161532402039,0.09351219236850739,Hip-Hop
xxyyxx_About You.wav,0.26018160581588745,0.03702690452337265,0.042378056794404984,0.17395848035812378,0.0008828109712339938,0.01219008769840002,0.32563748955726624,0.14774459600448608,Pop
xxyyxx_Red.wav,0.14157477021217346,0.11301186680793762,0.20230944454669952,0.23574475944042206,0.00870443694293499,0.06166289746761322,0.11275435239076614,0.12423747032880783,Hip-Hop
Youngbloodz_Chop Chop.wav,0.13413938879966736,0.0470740906894207,0.01426467765122652,0.5900303721427917,0.0054781571961939335,0.06054539978504181,0.0916128158569336,0.05685482919216156,Hip-Hop
ΛΛ4Я4ZΛΛ_Dove.wav,0.11213798820972443,0.024948012083768845,0.039948564022779465,0.16797374188899994,0.008784226141870022,0.04124695807695389,0.23883463442325592,0.36612603068351746,Rock
